name,country,sports,age,gender,philosophy,ambition,hero
ADDESI Pierpaolo,Italy, Cycling Road,45,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 30 Jun 2021)",
ADDISON Tamsin,Ireland, Equestrian,48,Female,"""If I can beat cancer, I can beat anything."" (Casey Hennessy Vimeo profile, 07 Aug 2017)","To win a gold medal at the Paralympic Games. (Casey Hennessy Vimeo profile, 07 Aug 2017; tamsinaddison.co.uk, 30 Oct 2020)",
ADENEGAN Kare,Great Britain, Athletics,20,Female,"""It's all about patience and perseverance. The one thing I really learnt in my career is that things don't always go your way instantly so it's important to remain motivated."" (Instagram profile, 15 Nov 2019)","To win gold at the 2020 Paralympic Games in Tokyo, and to compete at the 2022 Commonwealth Games in Birmingham, England. (paralympic.org, 24 Aug 2019; birmingham2022.com, 02 Dec 2020)","British rower Debbie Flood, British wheelchair racers Anne Wafula-Strike and Hannah Cockroft. (paralympic.org, 24 Aug 2019; friargatecoventry.co.uk, 01 Jan 2017)"
ADESOKAN Yakubu,Nigeria, Powerlifting,42,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (maravipost.com, 16 Feb 2019)","Nigerian Para powerlifter Lucy Ejike. (Athlete, 10 Jul 2019)"
ADLER Anja,Germany, Canoe Sprint,32,Female,"""He who fights can lose, he who doesn't fight has already lost."" (Athlete, 22 Aug 2021)",,"German Para cyclist Michael Teuber. (teamdeutschland-paralympics.de, 21 Aug 2017)"
ADOLPHE Timothee,France, Athletics,31,Male,"""Persistence and determination."" (sans-filtre.fr, 14 Aug 2018)","To win a medal at the 2020 Paralympic Games in Tokyo. (enroutepourrio.eu, 16 Jan 2018)","French basketball player Tony Parker, US basketball player Michael Jordan, Jamaican sprinter Usain Bolt, French sprinter Marie-Jose Perec. (Athlete, 23 Oct 2015)"
ADONINA Daria,RPC, Boccia,18,Female,"""Never give up. Experience, work, discipline. This approach is needed in everything."" (fontanka.ru, 18 Jan 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 30 Jul 2021)",
ADZHAMETOVA Leilia,Ukraine, Athletics,27,Female,,,"US sprinter Allyson Felix. (Athlete, 10 Nov 2019)"
AERE Katia,Italy, Cycling Road,50,Female,"""Do not be afraid, because it is fear that makes us immobile, not illness or the difficulties of life."" (mafra.it, 11 Mar 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 25 Jul 2021)","Italian Para cyclist Alex Zanardi. (mafra.it, 11 Mar 2021)"
AFRI Mahdi,Morocco, Athletics,25,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 16 Jul 2019)",
AFROOZ Saeid,Islamic Republic of Iran, Athletics,30,Male,,"To win a gold medal at four consecutive editions of the Paralympic Games, starting with the 2020 Games in Tokyo. (khabarfarsi.com, 01 Sep 2020)","Coach Seyed Mahdi Shahrokhi. (Athlete, 23 Aug 2021)"
AGALAKOV Roman,Kazakhstan, Swimming,26,Male,"""Fear not that your life will come to an end, but rather that it shall never have a beginning."" [John Henry Newman] (VK profile, 01 May 2016)","To win gold medals at the Paralympic Games and the world championships. (Athlete, 19 Aug 2021)","US swimmer Michael Phelps. (Athlete, 19 Aug 2021)"
AGBLEMAGNON Gloria,France, Athletics,23,Female,,"To win gold at the 2020 Paralympic Games in Tokyo and the 2024 Paralympic Games in Paris. (paralympic.org, 04 Jul 2018)","French Para athlete Marie-Amelie Le Fur. (lyc-paul-gauguin-orleans.tice.ac-orleans-tours.fr, 16 Oct 2016)"
AGRIPINO dos SANTOS Julio Cesar,Brazil, Athletics,30,Male,"""For me, problems serve as fuel to further increase my will to fight and persist."" (Facebook page, 24 Jan 2017)",,
AGUILAR CARMONA Vicente,Spain, Football 5-a-side,51,Male,"""Sport is essential for everyone, but especially for [people with a vision impairment] because it gives us orientation, mobility and autonomy. It also makes us lose fear and it comes in handy to relieve stress from work."" (diariovasco.com, 25 Sep 2019; marca.com, 08 Jun 2018)",,
AGUILERA CRUZ Ulicer,Cuba, Athletics,31,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (juventudrebelde, 10 Sep 2019)","German javelin thrower Thomas Rohler. (Athlete, 06 Nov 2019)"
AGUNBIADE Tajudeen,Nigeria, Table Tennis,46,Male,"""I can categorically say that table tennis has opened a lot of opportunities for me in life. It has exposed me to the world and people don't look down on me again but they now see me as a champion and someone who is relevant. Generally, sport has changed my status in life and I now see that I have opportunities like every other person in life."" (ittf.com, 07 Sep 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (ittf.com, 07 Sep 2020)","Swedish table tennis player Jan-Ove Waldner. (Ozone Motors Table Tennis Club Facebook page, 10 Oct 2020)"
AHLQUIST Anna Carin,Sweden, Table Tennis,49,Female,"""Always do your best and you will win gold."" (Athlete, 27 Jun 2015)","To compete at the 2020 Paralympic Games in Tokyo. (anna-carinahlquist.se, 20 Jan 2021)","Swedish Para table tennis player Ernst Bollden, Swedish table tennis player Jorgen Persson. (Athlete, 27 Jun 2015)"
AHMAD TARMIZI Zuhairi,Malaysia, Cycling Road,31,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (hmetro.com.my, 26 Jan 2018)",
AHMADI Amirreza,Islamic Republic of Iran, Wheelchair Basketball,20,Male,"""Never give up."" (Athlete, 22 Aug 2021)",,
AHMED Aya,Egypt, Goalball,25,Female,,,
AHMED Mohamed,Egypt, Powerlifting,39,Male,,,
AHMED Rehab,Egypt, Powerlifting,30,Female,"""There is always time to reach your ambitions."" )Athlete, 25 Aug 2021)","To break the Paralympic record. (Athlete, 25 Aug 2021)","Egyptian Para powerlifter Sherif Osman. (Athlete, 25 Aug 2021)"
AI Xinliang,People's Republic of China, Archery,24,Male,,"To win gold at the 2020 Paralympic Games in Tokyo. (new.qq.com, 28 Oct 2018; k.sina.com.cn, 07 Sep 2020)",
AINGCHAIYAPHUM Phuchit,Thailand, Swimming,20,Male,,,
AIT AL HAKEM Abdellali,Morocco, Football 5-a-side,27,Male,,,
AIT BAJJA Elhabib,Morocco, Football 5-a-side,23,Male,,,
AITCHISON Danielle,New Zealand, Athletics,20,Female,"""Focus only on yourself, you can only control what you do."" (Athlete, 06 Nov 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 06 Nov 2019)","New Zealand sprinter Zoe Hobbs. (Athlete, 06 Nov 2019)"
AJEET SINGH,India, Athletics,28,Male,"""To me, pain is like jewellery on an athlete. If there isn't any pain then the success can never be worth it."" (gulfnews.com, 07 Nov 2019)","To win gold and set a world record at the 2020 Paralympic Games in Tokyo. (firstsportz.com, 13 Feb 2021)",
AKAI Daiki,Japan, Athletics,22,Male,,"To compete at the 2020 Paralympic Games in Tokyo, and take up the marathon event. (nara-x.jimdo.com, 09 Mar 2019; gomutimes.co.jp, 26 Oct 2020)","British athlete Mo Farah. (Athlete, 15 Nov 2019)"
AKAISHI Ryuga,Japan, Wheelchair Basketball,20,Male,"""Talk the talk and walk the walk."" (city.saitama.jp, 17 Apr 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (saitama-lions.com, 04 May 2021)","Japanese baseball player Shohei Otani. (city.saitama.jp, 17 Apr 2021)"
AKAKURA Sachie,Japan, Sitting Volleyball,47,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Ameba profile, 09 Feb 2017)",
AKASH,India, Shooting,31,Male,,,
AKBAR Komet,Indonesia, Table Tennis,35,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (jawapos.com, 24 Nov 2018)",
AKBULUT Oguz,Turkey, Athletics,29,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (iha.com.tr, 03 Dec 2019)","Moroccan distance runner Hicham El Guerrouj. (Athlete, 09 Nov 2019)"
AKERMACH Rajae,Morocco, Taekwondo,24,Female,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (World Taekwondo YouTube channel, 25 Feb 2020)",
AKHMATKHONOVA Dilafruzkhon,Uzbekistan, Athletics,31,Female,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 19 Aug 2021)","Uzbekistani tennis player Denis Istomin. (Athlete, 23 Oct 2015)"
AKITA Kei,Japan, Wheelchair Basketball,31,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (tarui-school.ed.jp, 28 Nov 2018)",
AKKAYA Hakan,Turkey, Wheelchair Fencing,26,Male,"""My life was a mess before I took up sport. I felt like I was disconnected from the world. Then, one day, I decided to change everything in my life. Sport helped me to achieve this goal."" (dailysabah.com, 07 Feb 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (dailysabah.com, 07 Feb 2019)",
AKSOY Ridvan,Turkey, Wheelchair Basketball,21,Male,,,
AKSOY Vedat,Turkey, Archery,33,Male,,,
AL HARRASI Taha,Oman, Athletics,27,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (omandaily.om, 21 Mar 2021)","Jamaican sprinter Usain Bolt and Omani sprinter Barakat Al-Harthi. (Athlete, 08 Nov 2019)"
AL HUSSEIN Ibrahim,Refugee Paralympic Team, Swimming,32,Male,"""I want every refugee to have opportunities in sport. I cannot imagine my life without sport. I can stop eating but I cannot stop having sport in my life. It is what keeps me going."" (paralympic.org, 29 Nov 2016)","To win a medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 27 Aug 2018)","US swimmer Michael Phelps. (Athlete, 05 Dec 2017)"
AL KHALIFA Anas,Refugee Paralympic Team, Canoe Sprint,28,Male,"""Everybody has to fight and keep on going. Nothing is too difficult. If you have to try one time or 100 times, you have to just keep on going."" (paralympic.org, 02 Jun 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (kanu.de, 30 Jun 2021)",
AL MASHAYKHI Mohammed,Oman, Athletics,30,Male,"""Every moment in my sports career, I consider a success. I appreciate every experience as a successful one."" (facesoman.com, 27 Jun 2021)",,
AL-AGEELI Faris,Iraq, Powerlifting,47,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (annahar.com, 06 Sep 2018)","His parents. (Athlete, 23 Aug 2021)"
AL-DARRAJI Ali,Iraq, Powerlifting,39,Male,,,"His parents. (Athlete, 23 Aug 2021)"
AL-MADHKHOORI Zainulabdeen,Iraq, Wheelchair Fencing,30,Male,,,
AL-MAJIDI Hanan,Iraq, Powerlifting,30,Female,,,
AL-OGAILI Hayder,Iraq, Wheelchair Fencing,27,Male,,,
AL-RIKABI Ali,Iraq, Athletics,28,Male,,,
AL-SAEDI Zaman,Iraq, Archery,38,Female,,,
ALAMAR GARCIA Sergio,Spain, Football 5-a-side,20,Male,"""Para football has given me everything. Not just trips or victories, but it has taught me that you can't always get what you want. That has made me want to try even harder."" (diariovasco.com, 25 Sep 2019)","To compete at the 2020 Paralympic Games in Tokyo. (ProyectoFER YouTube channel, 24 Oct 2019)",
ALARYANI Abdulla Saif,United Arab Emirates, Shooting,45,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (uaenpc.ae, 07 May 2018)",
ALARYANI Abdulla Sultan,United Arab Emirates, Shooting,51,Male,"""I believe that sport is the most important vehicle that can bring people together, establish common ground and resolve conflicts."" (britishcouncil.org, 04 Dec 2011)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (alittihad.ae, 19 Oct 2018; sport360.com, 20 Sep 2017)",
ALBERTSDOTTIR Arna,Iceland, Cycling Road,31,Female,"""Handcycling gives me so much, both in terms of exercise and my general physical health. Exercise is of course important for everyone, but especially for people with spinal cord injuries."" (visir.is, 29 Jun 2019)","To compete at the 2020 Paralympic Games in Tokyo. (ruv.is, 08 Nov 2020)",
ALBRECHT Dominik,Germany, Sitting Volleyball,34,Male,"""Only dead fish go with the flow."" (Sitting Volleyball Team Germany Facebook page, 06 Dec 2015)","To win a medal at the 2020 Paralympic Games in Tokyo. (rheinische-anzeigenblaetter.de, 09 Jun 2021)",
ALBRECHT Jens Eicke,Germany, Wheelchair Basketball,30,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (teamdeutschland-paralympics.de, 2021)",
ALBURY Simon,Australia, Rowing,39,Male,,,
ALCALDE RODRIGUEZ Roberto,Brazil, Swimming,29,Male,"""Who dares wins."" (Athlete, 31 Aug 2010)",,"Brazilian mixed martial artist Wanderlei Silva. (Athlete, 31 Aug 2010)"
ALCAZAR FIGUEROA Matilde Estefania,Mexico, Swimming,26,Female,"""Success is for everybody, but it has to be built every single day."" (Athlete, 03 Dec 2017)","To win a medal at the 2020 Paralympic Games in Tokyo. (gob.mx, 08 Jul 2020)",
ALCOBA MEMBRILLA Maria Montserrat,Spain, Powerlifting,40,Female,,"To compete at the Paralympic Games. (Athlete, 25 Jun 2019)",
ALCOTT Dylan,Australia, Wheelchair Tennis,30,Male,,,"Australian wheelchair tennis player Dani di Toro, Australian tennis player Pat Rafter. (paralympic.org.au, 07 Jan 2012)"
ALDAYYENI Najlah,Iraq, Table Tennis,16,Female,,,
ALEJOS ALONSO Agustin,Spain, Wheelchair Basketball,33,Male,"""Always play 100%."" (Athlete, 04 May 2016)","To compete at the 2020 Paralympic Games in Tokyo. (cdamfiv.com, 26 Feb 2020)","Australian wheelchair basketball player Shaun Groenewegen. (lavozinclusiva.org, 18 Dec 2019)"
ALENCON Katell,France, Cycling Road,34,Female,"""The important thing is not to heal, but to live with your ailments."" (bleushandisport.com, 01 Jan 2017)","To finish in the top five in the time trial at the 2020 Paralympic Games in Tokyo, and to win a Paralympic medal. (actu.fr, 06 Jul 2021)","French cyclist Bryan Coquard, French biathlete Martin Fourcade. (sportsplanetweb.wordpress.com, 15 Oct 2016; bleushandisport.com, 01 Jan 2017)"
ALEXANDER Natalie,Australia, Wheelchair Basketball,30,Female,,,
ALGANAIDL Fahad,Saudi Arabia, Athletics,36,Male,"""As long as you are working hard, your day to shine will come at the right time. Be patient and don't lose hope."" (destinationksa.com, 29 Nov 2017)",,
ALHAJAJ Tharwh Tayseer Hamdan,Jordan, Powerlifting,48,Female,"""Fair play."" (Athlete, 03 Dec 2017)",,"King Abdullah II bin Al-Hussein of Jordan. (Athlete, 11 Jul 2019)"
ALHAMMADI Mohamed,United Arab Emirates, Athletics,36,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 21 Jul 2017)",
ALHASAN Fatema,Syrian Arab Republic, Powerlifting,43,Female,"""You have to use your own special power to be able to achieve what you want."" (mo3aq-news.com, 07 Mar 2018)","To win a medal at the 2020 Paralympic Games in Tokyo. (mo3aq-news.com, 07 Mar 2018)","Coach Zaria Balian. (Athlete, 11 Jul 2019)"
ALI Amany,Egypt, Powerlifting,45,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Veto YouTube channel, 09 Nov 2018)","Egyptian Para powerlifters Fatma Omar and Amany El-Desouky. (Athlete, 12 Jul 2019; ON Sport YouTube channel, 09 Mar 2017)"
ALI Ammar,Iraq, Wheelchair Fencing,36,Male,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 20 Nov 2018)","US boxer Muhammad Ali. (Athlete, 19 May 2016)"
ALI Haider,Pakistan, Athletics,36,Male,"""[Usain] Bolt has shown the world that nothing is impossible. Despite coming from an unprivileged background, he achieved what nobody else in sprint and track could accomplish. He makes us believe in our dreams and that hard work and perseverance always pay off."" (paralympic.org, 14 Jul 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (paralympic.org, 14 Jul 2020)","Jamaican sprinter Usain Bolt, coach Akbar Ali Mughal. (paralympic.org, 14 Jul 2020; Athlete, 08 Nov 2019)"
ALI Huda,Iraq, Powerlifting,44,Female,,,"Her sister. (Athlete, 23 Aug 2021)"
ALI POUR Meisam,Islamic Republic of Iran, Sitting Volleyball,32,Male,"""Volleyball is my whole life."" (irisfd.ir, 14 Jun 2020)","To play at four Paralympic Games over the duration of his career. (irisfd.ir, 14 Jun 2020)","His daughter. (Athlete, 22 Aug 2021)"
ALIBASIC Safet,Bosnia and Herzegovina, Sitting Volleyball,38,Male,"""Never surrender and never give up."" (paralympic.org, 04 Jan 2015)","To compete at the 2020 and 2024 Paralympic Games. (FTV YouTube channel, 24 Jul 2018; paralympic.org, 31 Jul 2016)",
ALIBOEVA Vasila,Uzbekistan, Judo,26,Female,,,
ALIEKSEIENKO Oleksandr,Israel, Athletics,37,Male,"""Don't step back and don't surrender."" (Athlete, 22 Oct 2015)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 29 Jun 2018; vesty.co.il, 09 Jun 2018)","Soviet hammer thrower Yuriy Sedykh. (Athlete, 22 Oct 2015)"
ALIEVA Maliak,RPC, Table Tennis,26,Female,,"To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 07 May 2021)","Russian figure skating coach Eteri Tutberidze. (Athlete, 07 May 2021)"
ALIM Nur Syahidah,Singapore, Archery,36,Female,"""Touch the hearts of everyone through extraordinary feats."" (Athlete, 22 Aug 2021)","To win gold at the 2020 Paralympic Games in Tokyo. (straitstimes.com, 07 Aug 2020)","Her mother. (Athlete, 22 Aug 2021)"
ALINAJIMI Vahid,Islamic Republic of Iran, Athletics,25,Male,,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (farsnews.com, 31 Oct 2018)",
ALIPOURIAN Davoud,Islamic Republic of Iran, Sitting Volleyball,36,Male,"""War to win."" (Athlete, 22 Aug 2021)","To win gold at the 2020 Paralympic Games in Tokyo. (borna.news, 11 Aug 2019)",
ALIYEV Kamil,Azerbaijan, Athletics,29,Male,,"To win a gold medal at the Paralympic Games. (Athlete, 25 Mar 2021)","US boxer Muhammad Ali. (Athlete, 08 Nov 2019)"
ALJNEIBI Sara,United Arab Emirates, Athletics,28,Female,"""I chose this sport to prove to everyone that people with impairments are strong and can achieve great things."" (sport360.com, 17 Sep 2016)""Determination defies the impossible, but also know that reaching the top requires sweat and effort."" (alkhaleej.ae, 08 Oct 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (UAE Paralympic Committee Facebook page, 05 May 2021; zahratalkhaleej.ae, 23 May 2018)","Emirati Para powerlifter Mohammed Khamis Khalaf, Emirati footballer Ismail Matar. (alkhaleej.ae, 08 Oct 2020)"
ALJUMAAH Sarah,Saudi Arabia, Athletics,42,Female,,,
ALJUNEIDI Mutaz Zakaria Daoud,Jordan, Powerlifting,45,Male,"""Everything is possible."" (Athlete, 03 Dec 2017)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 11 Mar 2019; Facebook page, 08 Mar 2019)","His father. (Athlete, 25 Aug 2021)"
ALKAN Huseyin,Turkey, Goalball,33,Male,,,
ALKEMADE Kimberly,Netherlands, Athletics,31,Female,"""Fear is a compass pointing you to the areas where you need to grow."" (Athlete, 06 Nov 2019)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 25 Feb 2021)","Dutch Para long jumper and triple jumper Ranki Oberoi, US sprinter and long jumper Tianna Bartoletta, Dutch sprinter Dafne Schippers. (Athlete, 06 Nov 2019)"
